Date,Open,High,Low,Close,Adj Close,Volume
2017-03-14,1422.099976,1424.150024,1406.650024,1410.699951,1392.494141,1788755
2017-03-15,1410.949951,1420.000000,1410.550049,1416.599976,1398.317993,1067965
2017-03-16,1418.099976,1422.849976,1413.650024,1417.349976,1399.058228,1245027
2017-03-17,1418.550049,1427.500000,1412.849976,1425.849976,1407.448608,847616
2017-03-20,1426.650024,1439.849976,1425.949951,1436.099976,1417.566284,2035586
2017-03-21,1434.000000,1445.000000,1434.000000,1440.949951,1422.353638,1389320
2017-03-22,1427.699951,1437.000000,1425.800049,1430.900024,1412.433472,1409136
2017-03-23,1434.400024,1435.000000,1422.900024,1430.900024,1412.433472,1230618
2017-03-24,1433.000000,1434.449951,1422.000000,1424.349976,1405.967896,952591
2017-03-27,1424.000000,1424.000000,1404.050049,1409.849976,1391.655029,1466021
2017-03-28,1418.300049,1424.699951,1413.099976,1420.199951,1401.871460,2015350
2017-03-29,1420.800049,1434.800049,1420.000000,1428.599976,1410.163086,2143943
2017-03-30,1428.000000,1479.949951,1425.050049,1466.199951,1447.277832,8580273
2017-03-31,1453.800049,1454.000000,1436.550049,1442.550049,1423.933105,2412848
2017-04-03,1446.000000,1450.099976,1426.000000,1433.199951,1414.703735,1037263
2017-04-05,1435.250000,1446.500000,1427.550049,1432.349976,1413.864624,1436020
2017-04-06,1431.500000,1443.000000,1425.050049,1438.500000,1419.935425,1531104
2017-04-07,1431.050049,1445.000000,1428.599976,1438.849976,1420.280762,1162090
2017-04-10,1443.000000,1443.000000,1432.650024,1434.150024,1415.641602,848469
2017-04-11,1434.000000,1441.199951,1431.500000,1439.500000,1420.922485,1089065
2017-04-12,1439.000000,1449.949951,1435.500000,1443.699951,1425.068237,891273
2017-04-13,1443.000000,1448.900024,1437.050049,1440.300049,1421.712158,1201059
2017-04-17,1440.300049,1443.800049,1428.250000,1436.800049,1418.257324,1784264
2017-04-18,1440.000000,1455.000000,1438.000000,1447.300049,1428.621826,909715
2017-04-19,1447.000000,1456.750000,1438.000000,1449.000000,1430.299927,1084536
2017-04-20,1453.000000,1466.050049,1452.949951,1462.150024,1443.280151,1445343
2017-04-21,1466.000000,1499.000000,1453.300049,1496.599976,1477.285522,4314508
2017-04-24,1498.099976,1539.000000,1497.000000,1533.050049,1513.265259,5051738
2017-04-25,1535.050049,1545.500000,1529.599976,1537.050049,1517.213623,2264445
2017-04-26,1542.949951,1553.000000,1468.449951,1550.650024,1530.638062,1948963
2017-04-27,1546.099976,1573.949951,1546.099976,1568.599976,1548.356445,4045105
2017-04-28,1559.900024,1559.900024,1537.099976,1546.500000,1526.541626,1359432
2017-05-02,1547.000000,1550.900024,1530.349976,1540.599976,1520.717651,1001760
2017-05-03,1554.250000,1554.250000,1539.349976,1544.300049,1524.369995,626991
2017-05-04,1539.250000,1542.900024,1522.599976,1534.800049,1514.992676,1282757
2017-05-05,1542.099976,1542.900024,1526.300049,1532.199951,1512.426025,689474
2017-05-08,1538.000000,1540.000000,1528.550049,1534.800049,1514.992676,936813
2017-05-09,1534.800049,1545.599976,1532.650024,1535.750000,1515.930298,836459
2017-05-10,1540.000000,1555.000000,1537.050049,1551.800049,1531.773193,585561
2017-05-11,1551.000000,1560.000000,1541.000000,1546.400024,1526.442871,968936
2017-05-12,1545.900024,1556.900024,1536.199951,1551.650024,1531.625122,1536901
2017-05-15,1550.000000,1557.199951,1542.250000,1553.400024,1533.352539,701195
2017-05-16,1555.000000,1562.000000,1548.250000,1559.650024,1539.521851,897594
2017-05-17,1558.800049,1565.400024,1551.500000,1557.150024,1537.054199,868118
2017-05-18,1549.000000,1561.500000,1548.099976,1557.099976,1537.004639,776820
2017-05-19,1559.500000,1569.900024,1545.250000,1561.250000,1541.101196,713534
2017-05-22,1565.099976,1580.000000,1563.099976,1576.000000,1555.660889,715013
2017-05-23,1580.000000,1583.550049,1565.000000,1569.099976,1548.849976,770043
2017-05-24,1569.050049,1575.449951,1562.000000,1566.750000,1546.530273,866847
2017-05-25,1567.099976,1629.400024,1567.099976,1617.150024,1596.279785,5022701
2017-05-26,1606.650024,1632.000000,1601.099976,1626.000000,1605.015503,1360789
2017-05-29,1619.800049,1648.000000,1617.650024,1631.900024,1610.839478,1479085
2017-05-30,1630.000000,1633.500000,1616.150024,1629.050049,1608.026245,1108546
2017-05-31,1625.000000,1643.000000,1623.150024,1636.199951,1615.083862,1329728
2017-06-01,1639.000000,1639.849976,1620.550049,1628.599976,1607.582031,839885
2017-06-02,1634.000000,1646.099976,1626.199951,1634.250000,1613.159058,803386
2017-06-05,1633.699951,1638.949951,1625.000000,1635.550049,1614.442383,724975
2017-06-06,1635.000000,1643.800049,1630.000000,1638.949951,1617.798462,1250658
2017-06-07,1640.400024,1644.900024,1630.349976,1640.800049,1619.624634,638569
2017-06-08,1643.900024,1659.400024,1641.650024,1644.750000,1623.523560,1062192
2017-06-09,1640.099976,1670.000000,1640.099976,1666.800049,1645.289063,1326318
2017-06-12,1664.000000,1676.000000,1660.000000,1668.750000,1647.213867,992853
2017-06-13,1661.750000,1691.900024,1661.000000,1676.699951,1655.061157,1262905
2017-06-14,1675.000000,1679.949951,1667.000000,1671.199951,1649.632202,964590
2017-06-15,1668.000000,1675.599976,1653.599976,1664.349976,1642.870605,881673
2017-06-16,1665.000000,1674.699951,1658.099976,1669.250000,1647.707397,938776
2017-06-19,1671.000000,1696.000000,1668.400024,1692.900024,1671.052246,956383
